tick	day	mean_energy	std_energy	min_energy	max_energy	pct_hungry	pct_starving
20784	433	16.24	0.94	1.62	18.24	0.2	0.1
20832	434	16.26	0.94	2.10	18.26	0.2	0.1
20880	435	16.28	0.93	2.17	18.13	0.2	0.1
20928	436	16.30	0.93	2.11	18.22	0.2	0.1
20976	437	16.32	0.93	2.04	18.30	0.2	0.1
21024	438	16.33	0.93	2.00	18.19	0.2	0.1
21072	439	16.35	0.93	1.94	18.44	0.2	0.1
21120	440	16.36	0.93	1.87	18.50	0.2	0.1
21168	441	16.37	0.93	1.80	18.46	0.3	0.1
21216	442	16.39	0.93	1.75	18.32	0.3	0.1
21264	443	16.40	0.92	1.69	18.28	0.3	0.1
21312	444	16.40	0.92	1.61	18.31	0.3	0.1
21360	445	16.41	0.92	1.54	18.24	0.3	0.1
21408	446	16.42	0.92	1.46	18.44	0.3	0.1
21456	447	16.43	0.92	1.37	18.30	0.3	0.1
21504	448	16.44	0.92	1.32	18.20	0.3	0.1
21552	449	16.44	0.91	1.28	18.24	0.3	0.1
21600	450	16.45	0.91	1.24	18.30	0.3	0.1
21648	451	16.42	0.90	1.19	18.18	0.3	0.1
21696	452	16.40	0.90	1.10	18.32	0.3	0.1
21744	453	16.37	0.90	1.03	18.26	0.3	0.1
21792	454	16.35	0.90	0.94	18.42	0.3	0.1
21840	455	16.32	0.89	0.85	18.25	0.3	0.1
21888	456	16.30	0.89	0.75	18.37	0.3	0.1
21936	457	16.27	0.90	0.63	18.20	0.3	0.1
21984	458	16.25	0.90	0.51	18.20	0.3	0.1
22032	459	16.22	0.90	0.37	18.24	0.3	0.1
22080	460	16.20	0.91	0.22	18.08	0.4	0.1
22128	461	16.17	0.92	0.06	18.13	0.4	0.1
22176	462	16.15	0.92	0.00	18.13	0.4	0.1
22224	463	16.12	0.93	0.00	18.22	0.3	0.1
22272	464	16.10	0.94	0.00	18.24	0.3	0.1
22320	465	16.07	0.95	0.00	18.35	0.3	0.1
22368	466	16.05	0.96	0.29	18.57	0.3	0.1
22416	467	16.03	0.96	1.40	18.45	0.3	0.1
22464	468	16.01	0.96	1.63	18.35	0.3	0.1
22512	469	15.99	0.97	1.85	18.28	0.3	0.1
22560	470	15.97	0.98	2.08	18.27	0.3	0.1
22608	471	15.95	0.98	2.53	18.28	0.3	0.1
22656	472	15.94	0.99	2.76	18.31	0.3	0.1
22704	473	15.92	1.00	2.99	18.16	0.3	0.1
22752	474	15.90	1.00	3.21	18.16	0.3	0.1
22800	475	15.89	1.00	3.73	18.05	0.3	0.1
